A-400                Enterprise                  Alpha Series                         $350.00
A-500                Enterprise                  Alpha Series                         $370.00
A-550                Enterprise                  Alpha Series                         $390.00
A-700                Enterprise                  Alpha Series                         $450.00
B-700                Enterprise                  Beta Series                          $500.00
B-800                Enterprise                  Beta Series                          $530.00
B-950                Enterprise                  Beta Series                          $600.00
D-440                Enterprise                  Delta Series                         $300.00
D-560                Enterprise                  Delta Series                         $350.00
D-780                Enterprise                  Delta Series                         $400.00
ET-770               Consumer                    Eta Series                           $300.00
ET-800               Consumer                    Eta Series                           $370.00
EP-300               Consumer                    Epsilon Series                       $100.00
EP-430a              Consumer                    Epsilon Series                       $150.00
EP-500               Consumer                    Epsilon Series                       $250.00
G-600                Enterprise                  Gamma Series                         $500.00
G-735                Enterprise                  Gamma Series                         $575.00
G-800                Enterprise                  Gamma Series                         $600.00
Gx-900               Enterprise                  Gamma Series                         $700.00
I-450q               Enterprise                  Gamma Series                         $400.00
I-500                Enterprise                  Gamma Series                         $450.00
Ix-900               Enterprise                  Gamma Series                         $750.00
